student_id,course_code,marks_obtained,exam_date
CS2024006,CS101,35,2024-12-15
CS2024006,CS201,42,2024-12-10
CS2024007,CS101,28,2024-12-15
CS2024007,CS201,31,2024-12-10
CS2024008,CS101,94,2024-12-15
CS2024008,CS201,96,2024-12-10
CS2024009,CS101,58,2024-12-15
CS2024009,CS201,61,2024-12-10
CS2024010,CS101,73,2024-12-15
CS2024010,CS201,87,2024-12-10
EE2024003,EE101,39,2024-12-12
EE2024004,EE101,44,2024-12-12
EE2024005,EE101,93,2024-12-12
EE2024006,EE101,77,2024-12-12
EE2024007,EE101,83,2024-12-12
CS2024003,CS201,25,2024-11-10
CS2024005,CS201,18,2024-11-10
CS2024006,EE101,33,2024-12-12
CS2024007,EE101,29,2024-12-12
