student_id,course_code,marks_obtained,exam_date
CS2024001,CS101,65,2024-09-15
CS2024001,CS101,72,2024-10-15
CS2024001,CS101,88,2024-12-15
CS2024002,CS201,85,2024-09-10
CS2024002,CS201,90,2024-10-10
CS2024002,CS201,95,2024-12-10
CS2024003,CS101,78,2024-09-15
CS2024003,CS101,68,2024-10-15
CS2024003,CS101,92,2024-12-15
CS2024004,CS201,92,2024-09-10
CS2024004,CS201,85,2024-10-10
CS2024004,CS201,78,2024-12-10
CS2024005,CS101,45,2024-09-15
CS2024005,CS101,52,2024-10-15
CS2024005,CS101,67,2024-12-15
EE2024001,EE101,88,2024-09-12
EE2024001,EE101,89,2024-10-12
EE2024001,EE101,91,2024-12-12
EE2024002,EE101,82,2024-09-12
EE2024002,EE101,78,2024-10-12
EE2024002,EE101,74,2024-12-12
