student_id,course_code,marks_obtained,exam_date
EE2024001,CS101,90,2024-09-17
EE2024001,CS201,92,2024-10-12
EE2024001,EE101,88,2024-11-14
EE2024001,CS101,94,2024-12-17
EE2024001,CS201,96,2025-01-12
EE2024001,EE101,98,2025-01-14
EE2024002,CS101,82,2024-09-17
EE2024002,CS201,84,2024-10-12
EE2024002,EE101,80,2024-11-14
EE2024002,CS101,86,2024-12-17
EE2024002,CS201,88,2025-01-12
EE2024002,EE101,90,2025-01-14
EE2024003,CS101,68,2024-09-17
EE2024003,CS201,70,2024-10-12
EE2024003,EE101,66,2024-11-14
EE2024003,CS101,72,2024-12-17
EE2024003,CS201,74,2025-01-12
EE2024003,EE101,76,2025-01-14
EE2024004,CS101,50,2024-09-17
EE2024004,CS201,52,2024-10-12
EE2024004,EE101,48,2024-11-14
EE2024004,CS101,54,2024-12-17
EE2024004,CS201,56,2025-01-12
EE2024004,EE101,58,2025-01-14
EE2024005,CS101,28,2024-09-17
EE2024005,CS201,30,2024-10-12
EE2024005,EE101,26,2024-11-14
EE2024005,CS101,32,2024-12-17
EE2024005,CS201,34,2025-01-12
EE2024005,EE101,36,2025-01-14
